"source_bo_id","source_business_id","full_name","date_of_birth","nationality","ownership_percentage","control_type","declared_date"
"BO-00001","BUS-00001","Drs. Fajar Rahmat Suryadi","1984-02-14","ID","41.12","VOTING_RIGHTS","2025-08-02"
"BO-00002","BUS-00001","Ir. Sari Anggraini","1983-06-25","ID","31.76","VOTING_RIGHTS","2024-06-03"
"BO-00003","BUS-00001","Gita Sari Simatupang","1981-08-24","ID","27.12","VOTING_RIGHTS","2025-11-18"
"BO-00004","BUS-00002","Ir. Eka Kusuma","1977-04-14","ID","37.75","BOARD_CONTROL","2024-10-31"
"BO-00005","BUS-00002","Gita Anggraini","1967-05-22","ID","41.46","BOARD_CONTROL","2025-06-10"
"BO-00006","BUS-00002","Drs. Adi Saputra","1982-03-22","ID","10.79","OTHER_SIGNIFICANT_INFLUENCE","2025-05-20"
"BO-00007","BUS-00003","Gilang Fajar Suryadi","1961-09-08","ID","82.64","OWNERSHIP","2024-11-23"
"BO-00008","BUS-00003","Yuda Wijaya","1972-09-25","ID","10.22","OTHER_SIGNIFICANT_INFLUENCE","2025-11-30"
"BO-00009","BUS-00004","Iwan Ramadhan","1968-07-05","ID","22.86","OWNERSHIP","2025-05-31"
"BO-00010","BUS-00004","Rina Situmorang","1963-09-02","ID","21.10","BOARD_CONTROL","2024-01-04"
"BO-00011","BUS-00004","Bagus Adi Santoso","1994-08-14","ID","36.46","OWNERSHIP","2025-06-11"
"BO-00012","BUS-00004","Dewi Umi Gunawan","1962-05-13","ID","19.58","OWNERSHIP","2024-02-08"
"BO-00013","BUS-00005","Ir. Anggun Suryadi","1982-10-03","ID","36.35","VOTING_RIGHTS","2024-02-18"
"BO-00014","BUS-00005","Indah Simatupang","1983-09-21","ID","63.65","BOARD_CONTROL","2025-09-19"
"BO-00015","BUS-00006","Bagus Gunawan","1974-09-01","ID","55.89","VOTING_RIGHTS","2024-01-22"
"BO-00016","BUS-00006","Yuda Kusuma","1990-01-14","ID","22.78","OWNERSHIP","2024-12-20"
"BO-00017","BUS-00006","Nanda Halim","1977-07-25","ID","11.21","BOARD_CONTROL","2025-01-20"
"BO-00018","BUS-00006","Adi Situmorang","1981-02-03","ID","10.12","OWNERSHIP","2024-05-24"
