"source_bo_id","source_business_id","full_name","date_of_birth","nationality","ownership_percentage","control_type","declared_date"
"BO-00001","BUS-00001","Iwan Setiawan","1971-04-05","ID","65.31","VOTING_RIGHTS","2024-04-15"
"BO-00002","BUS-00001","Iwan Saputra","1963-01-01","ID","19.26","BOARD_CONTROL","2024-11-16"
"BO-00003","BUS-00001","Rina Citra Simatupang","1994-04-15","ID","15.43","OWNERSHIP","2025-02-08"
"BO-00004","BUS-00002","Rahmat Eka Pratama","1966-02-11","ID","57.39","BOARD_CONTROL","2023-11-24"
"BO-00005","BUS-00002","Iwan Hadi Situmorang","1987-08-06","ID","42.61","OWNERSHIP","2026-01-16"
"BO-00006","BUS-00003","Iwan Maulana","1992-10-09","ID","70.34","VOTING_RIGHTS","2025-08-11"
"BO-00007","BUS-00003","H. Cahya Saputra","1964-09-25","ID","16.43","OTHER_SIGNIFICANT_INFLUENCE","2025-02-18"
"BO-00008","BUS-00003","Umi Halim","1961-08-05","ID","10.44","OWNERSHIP","2024-01-25"
"BO-00009","BUS-00004","Dra. Citra Setiawan","1984-10-12","ID","74.17","OTHER_SIGNIFICANT_INFLUENCE","2024-09-01"
"BO-00010","BUS-00004","Sari Situmorang","1969-11-23","ID","12.31","OTHER_SIGNIFICANT_INFLUENCE","2024-05-31"
"BO-00011","BUS-00004","Ir. Vina Suryadi","1964-03-19","ID","10.45","BOARD_CONTROL","2024-02-13"
"BO-00012","BUS-00006","Bagus Kusuma","1993-07-20","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2025-06-17"
"BO-00013","BUS-00007","Lestari Vina Maulana","1971-05-17","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2024-01-12"
"BO-00014","BUS-00008","Ir. Dian Bayu Lubis","1956-06-20","ID","48.03","VOTING_RIGHTS","2025-02-20"
"BO-00015","BUS-00008","Hadi Lubis","1968-07-22","ID","51.97","BOARD_CONTROL","2024-04-12"
"BO-00016","BUS-00009","Nanda Saputra","1965-05-10","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2023-11-24"
"BO-00017","BUS-00010","Tono Nugroho","1959-02-11","ID","73.42","VOTING_RIGHTS","2025-03-12"
"BO-00018","BUS-00010","Hadi Nugroho","1983-10-04","ID","14.42","OTHER_SIGNIFICANT_INFLUENCE","2023-11-13"
"BO-00019","BUS-00010","Dra. Dewi Sari Situmorang","1956-07-16","ID","12.16","BOARD_CONTROL","2025-04-30"
"BO-00020","BUS-00011","Hj. Sari Vina Nugroho","1991-05-23","ID","36.36","OTHER_SIGNIFICANT_INFLUENCE","2025-10-17"
"BO-00021","BUS-00011","Hj. Putri Citra Hartono","1975-05-27","ID","63.64","VOTING_RIGHTS","2024-12-06"
"BO-00022","BUS-00012","Iwan Permana","1987-03-11","ID","36.55","OTHER_SIGNIFICANT_INFLUENCE","2024-08-14"
"BO-00023","BUS-00012","Dra. Kartika Suryadi","1992-09-15","ID","63.45","OTHER_SIGNIFICANT_INFLUENCE","2024-07-18"
"BO-00024","BUS-00014","Lestari Simatupang","1958-06-16","ID","26.74","BOARD_CONTROL","2024-02-27"
"BO-00025","BUS-00014","Ir. Rahmat Pratama","1969-08-21","ID","73.26","BOARD_CONTROL","2026-01-07"
"BO-00026","BUS-00015","Wulan Pratama","1986-11-26","ID","100.00","BOARD_CONTROL","2024-12-04"
"BO-00027","BUS-00016","Ir. Wahyu Anggraini","1957-04-05","ID","89.68","VOTING_RIGHTS","2024-01-26"
"BO-00028","BUS-00016","Vina Permana","1962-11-09","ID","10.92","OWNERSHIP","2024-08-12"
"BO-00029","BUS-00017","Fajar Gunawan","1986-09-07","ID","46.82","BOARD_CONTROL","2025-06-25"
"BO-00030","BUS-00017","Dra. Dewi Pratama","1972-07-13","ID","26.82","OWNERSHIP","2024-10-01"
"BO-00031","BUS-00017","Oki Gilang Hidayat","1955-03-25","ID","12.80","BOARD_CONTROL","2025-06-03"
"BO-00032","BUS-00017","Ir. Fajar Santoso","1959-11-06","ID","13.56","OTHER_SIGNIFICANT_INFLUENCE","2025-12-09"
"BO-00033","BUS-00018","Ir. Citra Rina Permana","1978-05-03","ID","43.78","OTHER_SIGNIFICANT_INFLUENCE","2023-12-10"
"BO-00034","BUS-00018","Drs. Tono Halim","1973-05-15","ID","30.60","VOTING_RIGHTS","2024-01-24"
"BO-00035","BUS-00018","Oki Setiawan","1976-09-19","ID","12.57","OTHER_SIGNIFICANT_INFLUENCE","2024-01-05"
"BO-00036","BUS-00018","Anggun Setiawan","1978-05-27","ID","13.05","OWNERSHIP","2025-06-10"
"BO-00037","BUS-00019","Ir. Hadi Ramadhan","1967-03-26","ID","31.46","BOARD_CONTROL","2024-10-09"
"BO-00038","BUS-00019","Oki Maulana","1995-03-10","ID","68.54","OTHER_SIGNIFICANT_INFLUENCE","2024-07-30"
"BO-00039","BUS-00020","Indah Kusuma","1999-12-02","ID","58.86","OTHER_SIGNIFICANT_INFLUENCE","2024-03-14"
"BO-00040","BUS-00020","Lestari Nugroho","1961-02-02","ID","41.14","BOARD_CONTROL","2024-05-31"
"BO-00041","BUS-00021","Yuda Anggraini","1997-02-05","ID","60.08","OTHER_SIGNIFICANT_INFLUENCE","2024-02-03"
"BO-00042","BUS-00021","Hj. Lestari Permana","1956-07-22","ID","12.94","OWNERSHIP","2023-12-25"
"BO-00043","BUS-00021","Gilang Wijaya","1958-10-22","ID","11.39","OWNERSHIP","2024-07-20"
"BO-00044","BUS-00021","Dian Hidayat","1986-09-19","ID","15.59","BOARD_CONTROL","2024-07-10"
"BO-00045","BUS-00022","Drs. Rahmat Tono Siregar","1971-09-11","ID","30.09","OWNERSHIP","2024-11-25"
"BO-00046","BUS-00022","Dra. Rina Situmorang","1987-09-10","ID","50.57","BOARD_CONTROL","2025-12-23"
"BO-00047","BUS-00022","H. Hadi Suryadi","1977-09-20","ID","10.64","VOTING_RIGHTS","2025-09-19"
"BO-00048","BUS-00023","Joko Maulana","1974-06-06","ID","17.33","OWNERSHIP","2024-04-17"
"BO-00049","BUS-00023","H. Iwan Situmorang","1998-04-21","ID","29.23","BOARD_CONTROL","2024-07-09"
"BO-00050","BUS-00023","Drs. Cahya Pratama","1958-07-16","ID","14.81","OTHER_SIGNIFICANT_INFLUENCE","2024-12-30"
"BO-00051","BUS-00023","Cahya Pratama","1997-08-01","ID","38.63","BOARD_CONTROL","2025-01-30"
"BO-00052","BUS-00024","Ir. Anggun Putri Maulana","1955-11-02","ID","100.00","OWNERSHIP","2025-10-05"
