"source_transaction_reference","source_account_id","direction","amount_original","currency_original","value_datetime","business_date","channel","transaction_type","counterparty_reference","counterparty_name","counterparty_country","source_merchant_id","source_device_id","ip_address","status_from_source"
"TXN-000011429","ACC-0000378","IN","11637.00","IDR","2026-01-03T11:46:31+07:00","2026-01-03","TOPUP","WALLET_TOPUP","EXT-9232950","Hj. Mega Hartono","ID","","DEV-000246","198.51.100.212","SETTLED"
"TXN-000019108","ACC-0000675","IN","528915.00","IDR","2026-01-06T11:09:24+07:00","2026-01-06","PAYMENT","MERCHANT_PAYMENT","","Wulan Maulana","ID","MER-00049","DEV-000144","203.0.113.114","SETTLED"
"TXN-000001034","ACC-0000031","IN","10531.00","IDR","2026-01-09T12:57:17+07:00","2026-01-09","PAYMENT","BILL_PAYMENT","EXT-1872935","Nanda Pratama","ID","","","203.0.113.224","SETTLED"
"TXN-000009979","ACC-0000338","IN","214982.00","IDR","2026-01-10T21:01:48+07:00","2026-01-10","PAYMENT","BILL_PAYMENT","EXT-5604366","Ir. Cahya Simatupang","ID","","DEV-000004","198.51.100.146","SETTLED"
"TXN-000018805","ACC-0000668","IN","560272.00","IDR","2026-01-10T14:00:58+07:00","2026-01-10","PAYMENT","MERCHANT_PAYMENT","EXT-1982569","Vina Wijaya","ID","MER-00015","DEV-000409","198.51.100.206","SETTLED"
"TXN-000010081","ACC-0000341","OUT","42183.00","IDR","2026-01-11T19:21:51+07:00","2026-01-11","QRIS","MERCHANT_PAYMENT","EXT-6452655","Yuda Wahyu Situmorang","ID","MER-00041","DEV-000303","198.51.100.81","SETTLED"
"TXN-000000783","ACC-0000024","OUT","60248.00","IDR","2026-01-12T17:29:12+07:00","2026-01-12","TRANSFER","P2P_TRANSFER","EXT-9970687","Hadi Hidayat","ID","","DEV-000394","203.0.113.113","SETTLED"
"TXN-000011135","ACC-0000370","OUT","25004.00","IDR","2026-01-12T11:48:39+07:00","2026-01-12","TOPUP","WALLET_TOPUP","EXT-9491383","Zahra Maulana","ID","","DEV-000344","198.51.100.233","SETTLED"
"TXN-000018166","ACC-0000651","IN","301260.00","IDR","2026-01-13T08:55:46+07:00","2026-01-13","PAYMENT","MERCHANT_PAYMENT","EXT-7083257","Drs. Bayu Maulana","ID","MER-00057","DEV-000076","198.51.100.89","SETTLED"
"TXN-000002621","ACC-0000090","IN","100027.00","IDR","2026-01-14T06:50:29+07:00","2026-01-14","TOPUP","WALLET_TOPUP","EXT-9352287","Joko Nugroho","ID","","DEV-000189","198.51.100.165","SETTLED"
"TXN-000019439","ACC-0000684","IN","171885.00","IDR","2026-01-16T21:28:57+07:00","2026-01-16","PAYMENT","MERCHANT_PAYMENT","EXT-4046337","Gita Permana","ID","MER-00050","DEV-000352","203.0.113.26","SETTLED"
"TXN-000011891","ACC-9321291","OUT","197938.00","IDR","2026-01-17T10:43:41+07:00","2026-01-17","TRANSFER","P2P_TRANSFER","EXT-8187792","Hj. Gita Sari Situmorang","ID","","DEV-000357","198.51.100.93","SETTLED"
"TXN-000010998","ACC-0000364","IN","197706.00","IDR","2026-01-19T08:39:50+07:00","2026-01-19","TRANSFER","P2P_TRANSFER","EXT-2985896","Hj. Wulan Rina Permana","ID","","DEV-000048","198.51.100.233","SETTLED"
"TXN-000009379","ACC-0000319","OUT","213596.00","IDR","2026-01-21T11:01:13+07:00","2026-01-21","QRIS","MERCHANT_PAYMENT","EXT-7638425","Drs. Nanda Fajar Nugroho","ID","MER-00010","DEV-000171","203.0.113.2","SETTLED"
"TXN-000009691","ACC-0000330","OUT","468504.00","IDR","2026-01-22T12:41:29+07:00","2026-01-22","TOPUP","WALLET_TOPUP","EXT-8954704","H. Nanda Setiawan","ID","","DEV-000369","198.51.100.63","SETTLED"
"TXN-000017985","ACC-0000648","IN","282571.00","IDR","2026-01-22T07:00:09+07:00","2026-01-22","PAYMENT","MERCHANT_PAYMENT","EXT-4072276","Mega Ramadhan","ID","MER-00008","DEV-000090","198.51.100.218","SETTLED"
"TXN-000001330","ACC-0000043","IN","118787.00","IDR","2026-01-23T12:42:45+07:00","2026-01-23","QRIS","MERCHANT_PAYMENT","EXT-1110322","Hj. Lestari Dewi Anggraini","ID","MER-00004","DEV-000284","198.51.100.237","SETTLED"
"TXN-000018194","ACC-0000651","IN","151175.00","IDR","2026-01-25T06:42:25+07:00","2026-01-25","PAYMENT","MERCHANT_PAYMENT","EXT-7796986","Iwan Ramadhan","ID","MER-00020","DEV-000076","203.0.113.200","SETTLED"
"TXN-000007156","ACC-0000248","OUT","59436.00","IDR","2026-01-27T20:56:15+07:00","2026-01-27","QRIS","MERCHANT_PAYMENT","EXT-1523732","Ir. Anggun Lubis","ID","MER-00012","DEV-000018","198.51.100.75","SETTLED"
"TXN-000018214","ACC-0000652","IN","283207.00","IDR","2026-01-27T16:28:35+07:00","2026-01-27","PAYMENT","MERCHANT_PAYMENT","EXT-7542624","H. Tono Nugroho","ID","MER-00013","DEV-000183","203.0.113.62","SETTLED"
"TXN-000008480","ACC-0000288","IN","8374.00","IDR","2026-01-31T20:38:33+07:00","2026-01-31","QRIS","MERCHANT_PAYMENT","","H. Tono Kusuma","ID","MER-00033","DEV-000372","198.51.100.104","SETTLED"
"TXN-000002439","ACC-0000084","IN","3082.00","IDR","2026-02-02T17:29:34+07:00","2026-02-02","TOPUP","WALLET_TOPUP","EXT-2575706","Ayu Ramadhan","ID","","","198.51.100.207","SETTLED"
"TXN-000013245","ACC-0000443","OUT","86112.00","IDR","2026-02-02T20:03:30+07:00","2026-02-02","TOPUP","WALLET_TOPUP","EXT-8116445","Bagus Ramadhan","ID","","DEV-000450","198.51.100.165","SETTLED"
"TXN-000017668","ACC-0000632","IN","72485.00","IDR","2026-02-05T11:10:56+07:00","2026-02-05","PAYMENT","MERCHANT_PAYMENT","EXT-6866215","Fajar Santoso","ID","MER-00012","DEV-000329","203.0.113.23","SETTLED"
"TXN-000001230","ACC-0000041","IN","35490.00","IDR","2026-02-08T10:07:24+07:00","2026-02-08","TRANSFER","P2P_TRANSFER","EXT-4804352","Ir. Ayu Wulan Santoso","ID","","DEV-000378","203.0.113.216","SETTLED"
"TXN-000003183","ACC-0000107","OUT","215112.00","IDR","2026-02-09T13:32:03+07:00","2026-02-09","PAYMENT","BILL_PAYMENT","EXT-1920603","Nanda Hartono","ID","","DEV-000208","203.0.113.162","SETTLED"
"TXN-000008741","ACC-0000296","IN","33949.00","IDR","2026-02-13T22:27:15+07:00","2026-02-13","TOPUP","WALLET_TOPUP","EXT-3519746","H. Yuda Anggraini","ID","","DEV-000316","198.51.100.188","SETTLED"
"TXN-000008776","ACC-0000297","OUT","5494.00","IDR","2026-02-15T12:16:01+07:00","2026-02-15","TRANSFER","P2P_TRANSFER","EXT-7388472","Lestari Simatupang","ID","","DEV-000086","198.51.100.132","SETTLED"
"TXN-000017579","ACC-0000629","IN","449553.00","IDR","2026-02-15T14:20:40+07:00","2026-02-15","PAYMENT","MERCHANT_PAYMENT","EXT-6097459","Bayu Gilang Santoso","ID","MER-00010","DEV-000342","198.51.100.12","SETTLED"
"TXN-000018722","ACC-0000665","IN","28082.00","IDR","2026-02-21T11:22:12+07:00","2026-02-21","PAYMENT","MERCHANT_PAYMENT","EXT-5815338","Mega Setiawan","ID","MER-00061","DEV-000306","203.0.113.73","SETTLED"
"TXN-000005919","ACC-0000204","IN","840704.00","IDR","2026-02-23T10:09:03+07:00","2026-02-23","PAYMENT","BILL_PAYMENT","EXT-6383866","Wahyu Santoso","ID","","DEV-000296","198.51.100.108","SETTLED"
"TXN-000011046","ACC-0000365","OUT","50563.00","IDR","2026-02-23T11:50:55+07:00","2026-02-23","TOPUP","WALLET_TOPUP","EXT-9880574","Tono Ramadhan","ID","","DEV-000121","203.0.113.147","SETTLED"
"TXN-000016441","ACC-0000536","OUT","125723.00","IDR","2026-02-24T18:19:34+07:00","2026-02-24","TOPUP","WALLET_TOPUP","EXT-4336474","H. Bayu Simatupang","ID","","DEV-000033","198.51.100.23","SETTLED"
"TXN-000007379","ACC-0000255","OUT","26927.00","IDR","2026-02-25T08:54:22+07:00","2026-02-25","PAYMENT","BILL_PAYMENT","EXT-9663061","Oki Kusuma","ID","","DEV-000016","203.0.113.131","SETTLED"
"TXN-000015262","ACC-0000502","OUT","7606.00","IDR","2026-02-26T22:40:19+07:00","2026-02-26","QRIS","MERCHANT_PAYMENT","EXT-8380369","Joko Iwan Siregar","ID","MER-00040","DEV-000313","203.0.113.89","SETTLED"
"TXN-000006740","ACC-0000231","OUT","13530.00","IDR","2026-02-27T13:07:41+07:00","2026-02-27","TRANSFER","P2P_TRANSFER","EXT-7633006","Rina Indah Pratama","ID","","DEV-000086","198.51.100.123","SETTLED"
"TXN-000014955","ACC-0000492","IN","293875.00","IDR","2026-02-27T16:13:27+07:00","2026-02-27","TRANSFER","P2P_TRANSFER","EXT-8320516","Wahyu Simatupang","ID","","DEV-000471","198.51.100.230","SETTLED"
"TXN-000005174","ACC-9545832","IN","217618.00","IDR","2026-02-28T11:12:50+07:00","2026-02-28","TRANSFER","P2P_TRANSFER","EXT-2089394","Ir. Gilang Suryadi","ID","","DEV-000222","198.51.100.252","SETTLED"
"TXN-000001665","ACC-0000056","OUT","52023.00","IDR","2026-03-01T18:33:41+07:00","2026-03-01","QRIS","MERCHANT_PAYMENT","EXT-4374888","Ir. Rahmat Ramadhan","ID","MER-00052","DEV-000083","203.0.113.204","SETTLED"
"TXN-000014046","ACC-0000463","IN","30217.00","IDR","2026-03-03T18:59:22+07:00","2026-03-03","PAYMENT","BILL_PAYMENT","EXT-7565182","Citra Nugroho","ID","","DEV-000215","198.51.100.55","SETTLED"
"TXN-000001566","ACC-0000052","OUT","29513.00","IDR","2026-03-04T10:51:25+07:00","2026-03-04","PAYMENT","BILL_PAYMENT","EXT-4641729","Bagus Nugroho","ID","","DEV-000434","203.0.113.245","SETTLED"
"TXN-000008929","ACC-0000303","IN","195264.00","IDR","2026-03-04T13:33:11+07:00","2026-03-04","TRANSFER","P2P_TRANSFER","EXT-1586394","Ir. Oki Saputra","ID","","DEV-000216","198.51.100.42","SETTLED"
"TXN-000007622","ACC-0000262","IN","110582.00","IDR","2026-03-05T21:55:39+07:00","2026-03-05","PAYMENT","BILL_PAYMENT","EXT-5836488","Dra. Kartika Citra Lubis","ID","","DEV-000277","198.51.100.32","SETTLED"
"TXN-000001633","ACC-0000056","OUT","10193.00","IDR","2026-03-06T19:23:36+07:00","2026-03-06","TOPUP","WALLET_TOPUP","EXT-2592381","Ir. Eka Siregar","ID","","DEV-000083","198.51.100.109","SETTLED"
"TXN-000013865","ACC-0000460","OUT","11200.00","IDR","2026-03-06T11:15:26+07:00","2026-03-06","TOPUP","WALLET_TOPUP","EXT-7559155","Kartika Gita Anggraini","ID","","DEV-000338","198.51.100.64","SETTLED"
"TXN-000000487","ACC-0000015","IN","199463.00","IDR","2026-03-07T17:43:32+07:00","2026-03-07","QRIS","MERCHANT_PAYMENT","EXT-6732452","Ir. Sari Ayu Anggraini","ID","MER-00009","DEV-000210","203.0.113.88","SETTLED"
"TXN-000000713","ACC-0000022","OUT","32021.00","IDR","2026-03-08T06:46:46+07:00","2026-03-08","TOPUP","WALLET_TOPUP","EXT-2856410","Dra. Indah Wijaya","ID","","DEV-000205","198.51.100.21","SETTLED"
"TXN-000014883","ACC-0000489","OUT","273405.00","IDR","2026-03-08T13:59:08+07:00","2026-03-08","PAYMENT","BILL_PAYMENT","EXT-8293159","Bayu Oki Hartono","ID","","DEV-000096","198.51.100.24","SETTLED"
"TXN-000006452","ACC-0000223","OUT","12644.00","IDR","2026-03-09T21:04:12+07:00","2026-03-09","QRIS","MERCHANT_PAYMENT","EXT-3673481","Ir. Wahyu Nanda Anggraini","ID","MER-00038","DEV-000430","198.51.100.128","REVERSED"
"TXN-000006692","ACC-0000229","OUT","29242.00","IDR","2026-03-09T17:19:23+07:00","2026-03-09","PAYMENT","BILL_PAYMENT","EXT-7741936","Wulan Hartono","ID","","DEV-000054","198.51.100.11","SETTLED"
"TXN-000011646","ACC-0000384","IN","102201.00","IDR","2026-03-09T18:41:04+07:00","2026-03-09","TOPUP","WALLET_TOPUP","EXT-8467148","Ir. Joko Suryadi","ID","","DEV-000328","198.51.100.237","SETTLED"
"TXN-000010590","ACC-0000355","OUT","721438.00","IDR","2026-03-10T12:57:15+07:00","2026-03-10","TOPUP","WALLET_TOPUP","EXT-6045811","H. Joko Suryadi","ID","","DEV-000392","198.51.100.164","SETTLED"
"TXN-000017058","ACC-0000554","IN","700460.00","IDR","2026-03-10T11:03:45+07:00","2026-03-10","PAYMENT","BILL_PAYMENT","EXT-3654006","Hj. Citra Setiawan","ID","","DEV-000017","203.0.113.2","SETTLED"
"TXN-000009461","ACC-0000321","IN","176279.00","IDR","2026-03-11T14:46:24+07:00","2026-03-11","TOPUP","WALLET_TOPUP","EXT-7874787","Bagus Wijaya","ID","","DEV-000224","198.51.100.166","SETTLED"
"TXN-000017729","ACC-0000635","IN","228492.00","IDR","2026-03-11T12:48:46+07:00","2026-03-11","PAYMENT","MERCHANT_PAYMENT","EXT-4440561","Wahyu Dian Saputra","ID","MER-00043","DEV-000302","203.0.113.29","SETTLED"
"TXN-000007495","ACC-0000258","OUT","190312.00","IDR","2026-03-12T13:35:29+07:00","2026-03-12","TOPUP","WALLET_TOPUP","EXT-6911215","Umi Sari Santoso","ID","","DEV-000095","198.51.100.133","SETTLED"
"TXN-000004038","ACC-0000141","OUT","634249.00","IDR","2026-03-13T17:52:03+07:00","2026-03-13","TOPUP","WALLET_TOPUP","EXT-3107986","Dian Iwan Hartono","ID","","DEV-000448","198.51.100.248","SETTLED"
"TXN-000009901","ACC-0000337","IN","186642.00","IDR","2026-03-13T23:44:33+07:00","2026-03-13","QRIS","MERCHANT_PAYMENT","EXT-6805597","Cahya Setiawan","ID","MER-00024","","198.51.100.112","SETTLED"
"TXN-000009860","ACC-0000335","OUT","368112.00","IDR","2026-03-15T07:21:23+07:00","2026-03-15","PAYMENT","BILL_PAYMENT","EXT-1287035","Drs. Bayu Santoso","ID","","DEV-000088","203.0.113.183","SETTLED"
"TXN-000012462","ACC-0000413","OUT","34738.00","IDR","2026-03-15T11:35:10+07:00","2026-03-15","TRANSFER","P2P_TRANSFER","EXT-1641578","Drs. Wahyu Kusuma","ID","","DEV-000489","198.51.100.166","SETTLED"
"TXN-000004082","ACC-0000145","OUT","9759.00","IDR","2026-03-16T23:24:11+07:00","2026-03-16","TRANSFER","P2P_TRANSFER","EXT-9872431","Ir. Joko Cahya Ramadhan","ID","","DEV-000083","198.51.100.66","SETTLED"
"TXN-000000518","ACC-0000015","OUT","56813.00","IDR","2026-03-18T08:16:58+07:00","2026-03-18","PAYMENT","BILL_PAYMENT","","Ir. Wahyu Siregar","ID","","DEV-000210","203.0.113.124","PENDING"
"TXN-000014587","ACC-0000481","IN","59446.00","IDR","2026-03-18T11:33:36+07:00","2026-03-18","TOPUP","WALLET_TOPUP","EXT-4986162","Dra. Gita Vina Maulana","ID","","DEV-000011","203.0.113.223","SETTLED"
"TXN-000017568","ACC-0000630","IN","28838.00","IDR","2026-03-18T09:27:19+07:00","2026-03-18","PAYMENT","MERCHANT_PAYMENT","EXT-2824150","Citra Siregar","ID","MER-00074","DEV-000342","203.0.113.38","SETTLED"
"TXN-000001943","ACC-0000066","IN","70224.00","IDR","2026-03-19T12:12:04+07:00","2026-03-19","PAYMENT","BILL_PAYMENT","EXT-9672846","Rahmat Nanda Simatupang","ID","","DEV-000372","198.51.100.199","SETTLED"
"TXN-000003576","ACC-0000120","OUT","25865.00","IDR","2026-03-19T11:37:51+07:00","2026-03-19","TRANSFER","P2P_TRANSFER","EXT-5578317","Drs. Nanda Yuda Hartono","ID","","DEV-000081","203.0.113.57","SETTLED"
"TXN-000019474","ACC-0000686","IN","113947.00","IDR","2026-03-19T15:55:44+07:00","2026-03-19","PAYMENT","MERCHANT_PAYMENT","EXT-9499694","H. Joko Dian Saputra","ID","MER-00053","DEV-000497","203.0.113.176","SETTLED"
"TXN-000016051","ACC-0000524","OUT","0.00","IDR","2026-03-20T09:43:07+07:00","2026-03-20","QRIS","MERCHANT_PAYMENT","EXT-2800801","Wahyu Dian Simatupang","ID","MER-00040","DEV-000323","203.0.113.65","SETTLED"
"TXN-000013825","ACC-0000458","OUT","26226.00","IDR","2026-03-21T11:20:21+07:00","2026-03-21","QRIS","MERCHANT_PAYMENT","EXT-1241075","Cahya Gilang Lubis","ID","MER-00023","DEV-000164","203.0.113.180","SETTLED"
"TXN-000002187","ACC-0000074","OUT","93315.00","IDR","2026-03-22T17:48:09+07:00","2026-03-22","TRANSFER","P2P_TRANSFER","EXT-8027707","Yuda Halim","ID","","DEV-000437","198.51.100.247","SETTLED"
"TXN-000012559","ACC-0000416","OUT","72446.00","IDR","2026-03-22T21:19:42+07:00","2026-03-22","TRANSFER","P2P_TRANSFER","EXT-3587536","Drs. Tono Santoso","ID","","DEV-000083","203.0.113.89","SETTLED"
"TXN-000018404","ACC-0000658","IN","199074.00","IDR","2026-03-22T07:16:31+07:00","2026-03-22","PAYMENT","MERCHANT_PAYMENT","EXT-7579965","Cahya Permana","ID","MER-00058","DEV-000457","198.51.100.53","SETTLED"
"TXN-000001736","ACC-0000058","OUT","38763.00","IDR","2026-03-23T18:50:28+07:00","2026-03-23","QRIS","MERCHANT_PAYMENT","EXT-3153915","H. Cahya Iwan Halim","ID","MER-00060","DEV-000494","198.51.100.132","SETTLED"
"TXN-000015307","ACC-0000504","IN","24940.00","IDR","2026-03-23T10:39:16+07:00","2026-03-23","QRIS","MERCHANT_PAYMENT","EXT-5469458","Eka Nanda Pratama","ID","MER-00068","DEV-000398","203.0.113.240","SETTLED"
"TXN-000019118","ACC-0000676","IN","617706.00","IDR","2026-03-23T07:01:10+07:00","2026-03-23","PAYMENT","MERCHANT_PAYMENT","EXT-9418755","Nanda Permana","ID","MER-00006","","198.51.100.192","SETTLED"
"TXN-000011143","ACC-0000370","IN","161593.00","IDR","2026-03-25T21:24:03+07:00","2026-03-25","QRIS","MERCHANT_PAYMENT","EXT-7956018","Cahya Oki Hidayat","ID","MER-00068","DEV-000344","198.51.100.205","SETTLED"
"TXN-000005950","ACC-0000206","OUT","80181.00","IDR","2026-03-26T21:55:28+07:00","2026-03-26","TOPUP","WALLET_TOPUP","EXT-5311456","Drs. Cahya Siregar","ID","","DEV-000024","203.0.113.49","SETTLED"
"TXN-000002488","ACC-0000085","IN","79855.00","IDR","2026-03-27T23:26:01+07:00","2026-03-27","TOPUP","WALLET_TOPUP","","Bayu Suryadi","ID","","DEV-000275","203.0.113.126","SETTLED"
"TXN-000004803","ACC-0000166","OUT","158934.00","IDR","2026-03-27T23:24:19+07:00","2026-03-27","TOPUP","WALLET_TOPUP","EXT-7022665","H. Wahyu Permana","ID","","DEV-000066","198.51.100.2","SETTLED"
"TXN-000005834","ACC-0000201","IN","75300.00","IDR","2026-03-27T20:39:37+07:00","2026-03-27","TOPUP","WALLET_TOPUP","EXT-1656863","Wulan Anggun Situmorang","ID","","DEV-000345","198.51.100.161","SETTLED"
"TXN-000007666","ACC-0000263","IN","120373.00","IDR","2026-03-28T07:20:55+07:00","2026-03-28","QRIS","MERCHANT_PAYMENT","EXT-4191006","Umi Situmorang","ID","MER-00074","DEV-000091","198.51.100.182","SETTLED"
"TXN-000002733","ACC-0000093","OUT","37299.00","IDR","2026-03-29T10:34:24+07:00","2026-03-29","TOPUP","WALLET_TOPUP","EXT-6768341","Ir. Zahra Kusuma","ID","","DEV-000151","203.0.113.100","SETTLED"
"TXN-000010801","ACC-0000359","OUT","19690.00","IDR","2026-03-30T10:25:53+07:00","2026-03-30","QRIS","MERCHANT_PAYMENT","EXT-5507736","Dra. Kartika Simatupang","ID","MER-00013","DEV-000406","203.0.113.11","SETTLED"
"TXN-000013619","ACC-0000452","OUT","10252.00","IDR","2026-03-30T08:13:43+07:00","2026-03-30","TOPUP","WALLET_TOPUP","EXT-3086758","Gita Hartono","ID","","DEV-000134","198.51.100.107","SETTLED"
"TXN-000002065","ACC-0000070","OUT","66928.00","IDR","2026-03-31T19:41:59+07:00","2026-03-31","PAYMENT","BILL_PAYMENT","EXT-4153691","Iwan Ramadhan","ID","","DEV-000169","198.51.100.42","SETTLED"
"TXN-000006732","ACC-0000231","OUT","270531.00","IDR","2026-03-31T11:03:09+07:00","2026-03-31","PAYMENT","BILL_PAYMENT","EXT-5865497","Lestari Kusuma","ID","","DEV-000086","203.0.113.161","SETTLED"
"TXN-000009471","ACC-0000322","OUT","69573.00","IDR","2026-03-31T15:46:02+07:00","2026-03-31","QRIS","MERCHANT_PAYMENT","EXT-8226413","Hj. Dewi Hidayat","ID","MER-00065","DEV-000231","198.51.100.5","SETTLED"
