"list_record_id","list_type","primary_name","aliases","date_of_birth","nationality","country","position_or_role","note"
"WL-00001","PEP_SYNTHETIC","Iwan Maulana","","1964-10-25","MY","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00002","PEP_SYNTHETIC","Nanda Bayu Nugroho","","","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00003","INTERNAL_WATCH","Wulan Siti Permana","","1959-01-14","ID","ID","","Synthetic record; not derived from any real list."
"WL-00004","PEP_SYNTHETIC","Rahmat Wahyu Siregar","Rehmat Wahyu Siregar","","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00005","PEP_SYNTHETIC","Rina Gunawan","","","ID","ID","Pejabat Daerah (sintetis)","Synthetic record; not derived from any real list."
"WL-00006","PEP_SYNTHETIC","Eka Permana","","","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00007","PEP_SYNTHETIC","Ir. Eka Maulana","","1963-07-03","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00008","PEP_SYNTHETIC","Wahyu Wijaya","","1953-11-16","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00009","SANCTIONS_SYNTHETIC","Indah Hidayat","","1993-03-08","ID","ID","","Synthetic record; not derived from any real list."
"WL-00010","INTERNAL_WATCH","Zahra Gunawan","Zehra Gunawan","1993-01-18","ID","ID","","Synthetic record; not derived from any real list."
"WL-00011","PEP_SYNTHETIC","Bayu Adi Suryadi","","1971-10-18","ID","ID","Pejabat Daerah (sintetis)","Synthetic record; not derived from any real list."
"WL-00012","SANCTIONS_SYNTHETIC","Eka Fajar Wijaya","","1997-08-18","ID","ID","","Synthetic record; not derived from any real list."
"WL-00013","SANCTIONS_SYNTHETIC","Bayu Fajar Lubis","","","AE","ID","","Synthetic record; not derived from any real list."
"WL-00014","PEP_SYNTHETIC","Drs. Gilang Simatupang","","1997-10-23","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00015","PEP_SYNTHETIC","Dra. Anggun Saputra","","1993-05-28","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00016","PEP_SYNTHETIC","Drs. Bayu Lubis","","","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00017","PEP_SYNTHETIC","H. Joko Kusuma","H. Joko Kusume","1974-11-10","KR","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00018","PEP_SYNTHETIC","Ir. Cahya Situmorang","Ir. Cehya Situmorang","1952-09-16","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00019","PEP_SYNTHETIC","Umi Situmorang","Umi Situmoreng","1981-11-24","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00020","SANCTIONS_SYNTHETIC","Dian Ramadhan","","1955-04-14","SA","ID","","Synthetic record; not derived from any real list."
"WL-00021","PEP_SYNTHETIC","Ir. Putri Suryadi","Ir. Putri Suryedi","","ID","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00022","SANCTIONS_SYNTHETIC","Adi Gunawan","","1968-02-08","ID","ID","","Synthetic record; not derived from any real list."
"WL-00023","PEP_SYNTHETIC","Lestari Indah Siregar","Lesteri Indah Siregar","1983-02-28","ID","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00024","PEP_SYNTHETIC","H. Cahya Anggraini","","","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00025","PEP_SYNTHETIC","Zahra Mega Santoso","","","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00026","INTERNAL_WATCH","Adi Hartono","Adi Hertono","","ID","ID","","Synthetic record; not derived from any real list."
"WL-00027","PEP_SYNTHETIC","Adi Anggraini","","","ID","ID","Pejabat Daerah (sintetis)","Synthetic record; not derived from any real list."
"WL-00028","PEP_SYNTHETIC","Yuda Kusuma","","1952-07-12","ID","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00029","PEP_SYNTHETIC","Drs. Oki Adi Suryadi","Drs. Oki Adi Suryedi","1997-11-14","AU","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00030","PEP_SYNTHETIC","Rahmat Hidayat","Rehmat Hidayat","1970-01-06","ID","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00031","SANCTIONS_SYNTHETIC","Ayu Siregar","","1984-05-04","ID","ID","","Synthetic record; not derived from any real list."
"WL-00032","PEP_SYNTHETIC","Wulan Halim","","1987-01-27","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00033","PEP_SYNTHETIC","Eka Cahya Halim","","1963-03-20","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00034","INTERNAL_WATCH","Fajar Nugroho","","1967-10-08","ID","ID","","Synthetic record; not derived from any real list."
"WL-00035","PEP_SYNTHETIC","Wahyu Setiawan","","1989-10-21","ID","ID","Pejabat Daerah (sintetis)","Synthetic record; not derived from any real list."
"WL-00036","PEP_SYNTHETIC","Citra Nugroho","Citre Nugroho","1973-01-19","HK","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00037","PEP_SYNTHETIC","Hj. Umi Nugroho","","","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00038","PEP_SYNTHETIC","Kartika Permana","Kertika Permana","1980-10-28","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00039","PEP_SYNTHETIC","Drs. Rahmat Hartono","Drs. Rehmat Hartono","1985-07-11","NL","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00040","SANCTIONS_SYNTHETIC","H. Joko Halim","","1964-05-20","ID","ID","","Synthetic record; not derived from any real list."
"WL-00041","PEP_SYNTHETIC","Siti Nugroho","","","ID","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00042","PEP_SYNTHETIC","Dra. Kartika Siregar","Dre. Kartika Siregar","1978-07-11","ID","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00043","PEP_SYNTHETIC","Adi Maulana","","1972-01-08","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00044","PEP_SYNTHETIC","Hadi Ramadhan","Hedi Ramadhan","","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00045","PEP_SYNTHETIC","Citra Anggun Maulana","","1985-06-20","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00046","PEP_SYNTHETIC","Eka Setiawan","Eke Setiawan","","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00047","SANCTIONS_SYNTHETIC","Drs. Cahya Halim","","","ID","ID","","Synthetic record; not derived from any real list."
"WL-00048","PEP_SYNTHETIC","Drs. Hadi Saputra","","1966-08-23","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00049","SANCTIONS_SYNTHETIC","Hj. Putri Permana","","","ID","ID","","Synthetic record; not derived from any real list."
"WL-00050","SANCTIONS_SYNTHETIC","Umi Situmorang","","","ID","ID","","Synthetic record; not derived from any real list."
"WL-00051","INTERNAL_WATCH","Hj. Indah Hartono","Hj. Indeh Hartono","1952-10-26","ID","ID","","Synthetic record; not derived from any real list."
"WL-00052","PEP_SYNTHETIC","Ir. Hadi Siregar","","1981-05-26","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00053","SANCTIONS_SYNTHETIC","Rina Suryadi","","","SG","ID","","Synthetic record; not derived from any real list."
"WL-00054","SANCTIONS_SYNTHETIC","Dra. Gita Wijaya","Dre. Gita Wijaya","1995-02-21","ID","ID","","Synthetic record; not derived from any real list."
"WL-00055","SANCTIONS_SYNTHETIC","Hj. Siti Santoso","","1985-11-01","AU","ID","","Synthetic record; not derived from any real list."
"WL-00056","PEP_SYNTHETIC","Hj. Gita Nugroho","Hj. Gite Nugroho","1961-08-12","US","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00057","SANCTIONS_SYNTHETIC","Putri Citra Hidayat","","","ID","ID","","Synthetic record; not derived from any real list."
"WL-00058","PEP_SYNTHETIC","Dian Permana","Dien Permana","","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00059","PEP_SYNTHETIC","Ir. Anggun Ramadhan","","","KR","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00060","INTERNAL_WATCH","Oki Santoso","Oki Sentoso","1952-10-15","ID","ID","","Synthetic record; not derived from any real list."
"WL-00061","PEP_SYNTHETIC","Joko Saputra","","","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00062","INTERNAL_WATCH","Iwan Suryadi","","","ID","ID","","Synthetic record; not derived from any real list."
"WL-00063","SANCTIONS_SYNTHETIC","Hj. Vina Kartika Permana","Hj. Vine Kartika Permana","","ID","ID","","Synthetic record; not derived from any real list."
"WL-00064","SANCTIONS_SYNTHETIC","Ir. Kartika Gunawan","Ir. Kertika Gunawan","","ID","ID","","Synthetic record; not derived from any real list."
"WL-00065","INTERNAL_WATCH","Ir. Hadi Iwan Suryadi","","1990-02-27","ID","ID","","Synthetic record; not derived from any real list."
"WL-00066","PEP_SYNTHETIC","Bayu Saputra","","","ID","ID","Pejabat Daerah (sintetis)","Synthetic record; not derived from any real list."
"WL-00067","INTERNAL_WATCH","Ir. Ayu Pratama","","","ID","ID","","Synthetic record; not derived from any real list."
"WL-00068","PEP_SYNTHETIC","Citra Wijaya","","","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
