"source_bo_id","source_business_id","full_name","date_of_birth","nationality","ownership_percentage","control_type","declared_date"
"BO-00001","BUS-00001","Drs. Oki Nugroho","1962-11-05","ID","20.15","OWNERSHIP","2026-02-20"
"BO-00002","BUS-00001","Ir. Wulan Pratama","1957-10-02","ID","79.85","VOTING_RIGHTS","2024-04-11"
"BO-00003","BUS-00002","Umi Maulana","1977-07-24","ID","100.00","OWNERSHIP","2024-02-14"
"BO-00004","BUS-00003","Adi Situmorang","1974-08-18","ID","38.79","OTHER_SIGNIFICANT_INFLUENCE","2025-12-17"
"BO-00005","BUS-00003","Ir. Gilang Permana","1975-07-27","ID","61.21","OWNERSHIP","2024-12-24"
"BO-00006","BUS-00004","Bayu Joko Anggraini","1999-09-06","ID","73.81","BOARD_CONTROL","2025-12-06"
"BO-00007","BUS-00004","Bayu Saputra","1962-05-24","ID","14.22","OTHER_SIGNIFICANT_INFLUENCE","2025-05-09"
"BO-00008","BUS-00004","H. Adi Wijaya","1990-02-02","ID","11.97","OWNERSHIP","2025-07-22"
"BO-00009","BUS-00005","Nanda Simatupang","1989-11-26","ID","87.80","OWNERSHIP","2023-10-16"
"BO-00010","BUS-00005","Nanda Dian Maulana","1976-06-01","ID","12.20","OWNERSHIP","2024-11-13"
"BO-00011","BUS-00007","Hj. Umi Nugroho","1991-04-27","ID","39.40","BOARD_CONTROL","2023-11-17"
"BO-00012","BUS-00007","Rina Pratama","1988-07-27","ID","45.92","OWNERSHIP","2025-01-11"
"BO-00013","BUS-00007","Dra. Kartika Gunawan","1996-06-23","ID","14.68","OTHER_SIGNIFICANT_INFLUENCE","2025-06-20"
"BO-00014","BUS-00008","Eka Wijaya","1977-02-13","ID","16.76","BOARD_CONTROL","2025-06-10"
"BO-00015","BUS-00008","Ir. Hadi Anggraini","1995-10-23","ID","40.32","OWNERSHIP","2024-02-23"
"BO-00016","BUS-00008","Dian Wijaya","1992-04-14","ID","42.92","OWNERSHIP","2024-09-08"
"BO-00017","BUS-00009","Ir. Joko Permana","1982-04-20","ID","30.45","OTHER_SIGNIFICANT_INFLUENCE","2025-08-03"
"BO-00018","BUS-00009","Mega Indah Anggraini","1990-01-13","ID","59.11","OTHER_SIGNIFICANT_INFLUENCE","2024-07-15"
"BO-00019","BUS-00009","Dian Halim","1956-04-04","ID","10.44","OTHER_SIGNIFICANT_INFLUENCE","2025-10-04"
"BO-00020","BUS-00010","Ir. Joko Maulana","1989-03-11","ID","28.52","VOTING_RIGHTS","2024-03-01"
"BO-00021","BUS-00010","Citra Kartika Wijaya","1990-08-17","ID","71.48","VOTING_RIGHTS","2023-11-11"
"BO-00022","BUS-00011","Rina Lestari Hartono","1979-11-08","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2024-06-30"
"BO-00023","BUS-00012","Kartika Dewi Siregar","1977-09-23","ID","40.74","BOARD_CONTROL","2026-02-28"
"BO-00024","BUS-00012","Ir. Bagus Tono Situmorang","1967-12-26","ID","59.26","VOTING_RIGHTS","2024-05-13"
"BO-00025","BUS-00003","Dra. Kartika Gunawan","1996-06-23","ID","8.47","OTHER_SIGNIFICANT_INFLUENCE","2025-06-20"
"BO-00026","BUS-00004","Dra. Kartika Gunawan","1996-06-23","ID","5.26","OTHER_SIGNIFICANT_INFLUENCE","2025-06-20"
