"source_transaction_reference","source_account_id","direction","amount_original","currency_original","value_datetime","business_date","channel","transaction_type","counterparty_reference","counterparty_name","counterparty_country","source_merchant_id","source_device_id","ip_address","status_from_source"
"TXN-000001566","ACC-0000048","IN","89459.00","IDR","2026-01-25T18:23:51+07:00","2026-01-25","TRANSFER","P2P_TRANSFER","EXT-4641729","Bagus Nugroho","ID","","DEV-000049","203.0.113.245","SETTLED"
"TXN-000002824","ACC-0000092","IN","1056420.00","IDR","2026-02-14T15:36:47+07:00","2026-02-14","PAYMENT","BILL_PAYMENT","EXT-8134742","Bagus Siregar","ID","","DEV-000066","198.51.100.124","SETTLED"
"TXN-000000702","ACC-0000020","IN","41451.00","IDR","2026-02-16T17:25:06+07:00","2026-02-16","QRIS","MERCHANT_PAYMENT","EXT-6693317","Ayu Lestari Permana","ID","MER-00015","DEV-000068","198.51.100.174","REVERSED"
"TXN-000003380","ACC-0000106","IN","23070.00","IDR","2026-02-23T19:42:41+07:00","2026-02-23","TRANSFER","P2P_TRANSFER","EXT-6896837","Hj. Dewi Permana","ID","","DEV-000034","203.0.113.31","SETTLED"
"TXN-000000783","ACC-0000022","OUT","165252.00","IDR","2026-02-27T09:02:35+07:00","2026-02-27","TOPUP","WALLET_TOPUP","EXT-9970687","Hadi Hidayat","ID","","DEV-000010","203.0.113.113","SETTLED"
"TXN-000000101","ACC-0000004","IN","190639.00","IDR","2026-03-02T19:34:31+07:00","2026-03-02","PAYMENT","BILL_PAYMENT","EXT-9445060","Dewi Sari Santoso","ID","","DEV-000023","198.51.100.117","SETTLED"
"TXN-000003139","ACC-0000099","OUT","27281.00","IDR","2026-03-12T22:40:44+07:00","2026-03-12","TRANSFER","P2P_TRANSFER","EXT-5596041","Kartika Nugroho","ID","","DEV-000077","198.51.100.35","SETTLED"
"TXN-000001665","ACC-0000051","OUT","34218.00","IDR","2026-03-15T19:46:27+07:00","2026-03-15","TRANSFER","P2P_TRANSFER","EXT-4374888","Ir. Rahmat Ramadhan","ID","","DEV-000054","203.0.113.204","SETTLED"
"TXN-000000247","ACC-0000008","OUT","472066.00","IDR","2026-03-16T20:51:26+07:00","2026-03-16","TRANSFER","P2P_TRANSFER","EXT-8952451","H. Oki Nanda Simatupang","ID","","DEV-000061","198.51.100.40","SETTLED"
"TXN-000002621","ACC-0000085","OUT","6829.00","IDR","2026-03-21T09:31:34+07:00","2026-03-21","QRIS","MERCHANT_PAYMENT","EXT-9352287","Joko Nugroho","ID","MER-00007","DEV-000077","198.51.100.165","SETTLED"
"TXN-000002439","ACC-0000080","OUT","113371.00","IDR","2026-03-25T18:23:20+07:00","2026-03-25","TOPUP","WALLET_TOPUP","EXT-2575706","Ayu Ramadhan","ID","","","198.51.100.207","SETTLED"
"TXN-000003869","ACC-0000134","IN","448466.00","IDR","2026-03-25T17:55:53+07:00","2026-03-25","PAYMENT","MERCHANT_PAYMENT","EXT-1948904","Ir. Yuda Maulana","ID","MER-00012","DEV-000059","203.0.113.3","SETTLED"
"TXN-000000251","ACC-0000008","IN","251759.00","IDR","2026-03-27T13:12:50+07:00","2026-03-27","TOPUP","WALLET_TOPUP","EXT-6759839","Rahmat Tono Simatupang","ID","","DEV-000061","203.0.113.194","SETTLED"
"TXN-000000111","ACC-0000004","OUT","480302.00","IDR","2026-04-01T18:34:41+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-9489393","Dian Permana","ID","","DEV-000023","203.0.113.71","SETTLED"
"TXN-000000204","ACC-0000007","IN","168977.00","IDR","2026-04-01T15:31:33+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-7777751","Siti Gunawan","ID","","","203.0.113.5","SETTLED"
