"list_record_id","list_type","primary_name","aliases","date_of_birth","nationality","country","position_or_role","note"
"WL-00001","PEP_SYNTHETIC","Iwan Maulana","","1964-10-25","MY","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00002","PEP_SYNTHETIC","Nanda Bayu Nugroho","","","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00003","INTERNAL_WATCH","Wulan Siti Permana","","1959-01-14","ID","ID","","Synthetic record; not derived from any real list."
"WL-00004","PEP_SYNTHETIC","Rahmat Wahyu Siregar","Rehmat Wahyu Siregar","","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00005","PEP_SYNTHETIC","Rina Gunawan","","","ID","ID","Pejabat Daerah (sintetis)","Synthetic record; not derived from any real list."
"WL-00006","PEP_SYNTHETIC","Eka Permana","","","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00007","PEP_SYNTHETIC","Ir. Eka Maulana","","1963-07-03","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00008","PEP_SYNTHETIC","Wahyu Wijaya","","1953-11-16","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00009","SANCTIONS_SYNTHETIC","Indah Hidayat","","1993-03-08","ID","ID","","Synthetic record; not derived from any real list."
"WL-00010","INTERNAL_WATCH","Zahra Gunawan","Zehra Gunawan","1993-01-18","ID","ID","","Synthetic record; not derived from any real list."
"WL-00011","PEP_SYNTHETIC","Bayu Adi Suryadi","","1971-10-18","ID","ID","Pejabat Daerah (sintetis)","Synthetic record; not derived from any real list."
"WL-00012","SANCTIONS_SYNTHETIC","Eka Fajar Wijaya","","1997-08-18","ID","ID","","Synthetic record; not derived from any real list."
"WL-00013","SANCTIONS_SYNTHETIC","Bayu Fajar Lubis","","","AE","ID","","Synthetic record; not derived from any real list."
"WL-00014","PEP_SYNTHETIC","Drs. Gilang Simatupang","","1997-10-23","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00015","PEP_SYNTHETIC","Dra. Anggun Saputra","","1993-05-28","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00016","PEP_SYNTHETIC","Drs. Bayu Lubis","","","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00017","PEP_SYNTHETIC","H. Joko Kusuma","H. Joko Kusume","1974-11-10","KR","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00018","PEP_SYNTHETIC","Ir. Cahya Situmorang","Ir. Cehya Situmorang","1952-09-16","ID","ID","Kepala Dinas (sintetis)","Synthetic record; not derived from any real list."
"WL-00019","PEP_SYNTHETIC","Umi Situmorang","Umi Situmoreng","1981-11-24","ID","ID","Direktur BUMD (sintetis)","Synthetic record; not derived from any real list."
"WL-00020","SANCTIONS_SYNTHETIC","Dian Ramadhan","","1955-04-14","SA","ID","","Synthetic record; not derived from any real list."
"WL-00021","PEP_SYNTHETIC","Ir. Putri Suryadi","Ir. Putri Suryedi","","ID","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00022","SANCTIONS_SYNTHETIC","Adi Gunawan","","1968-02-08","ID","ID","","Synthetic record; not derived from any real list."
"WL-00023","PEP_SYNTHETIC","Lestari Indah Siregar","Lesteri Indah Siregar","1983-02-28","ID","ID","Anggota Dewan (sintetis)","Synthetic record; not derived from any real list."
"WL-00024","PEP_SYNTHETIC","H. Cahya Anggraini","","","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
"WL-00025","PEP_SYNTHETIC","Zahra Mega Santoso","","","ID","ID","Komisaris (sintetis)","Synthetic record; not derived from any real list."
