transaction_ref,account_number,transaction_date,amount,currency,direction,channel,counterparty_ref,description
TXN-0001,ACC-1001,2026-08-03T09:15:00Z,450000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0002,ACC-1001,2026-08-04T10:30:00Z,480000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0003,ACC-1002,2026-08-06T11:00:00Z,420000000.00,IDR,CREDIT,TRANSFER,CP-7781,Incoming transfer
TXN-0004,ACC-1002,2026-08-08T14:45:00Z,470000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0005,ACC-1001,2026-08-05T13:20:00Z,15000000.00,IDR,DEBIT,TRANSFER,CP-1002,Utility payment
TXN-0006,ACC-2001,2026-08-10T09:00:00Z,400000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0007,ACC-2001,2026-08-11T09:30:00Z,410000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0008,ACC-2001,2026-08-12T10:00:00Z,50000000.00,IDR,CREDIT,TRANSFER,CP-2201,Salary
TXN-0009,ACC-3001,2026-08-01T09:00:00Z,430000000.00,IDR,CREDIT,TRANSFER,CP-3301,Invoice payment
TXN-0010,ACC-3001,2026-08-09T09:00:00Z,440000000.00,IDR,CREDIT,TRANSFER,CP-3302,Invoice payment
TXN-0011,ACC-3001,2026-08-17T09:00:00Z,450000000.00,IDR,CREDIT,TRANSFER,CP-3303,Invoice payment
TXN-0012,ACC-4001,2026-08-14T09:00:00Z,500000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0013,ACC-4001,2026-08-15T09:00:00Z,500000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0014,ACC-4001,2026-08-16T09:00:00Z,500000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0015,ACC-5001,2026-08-18T09:00:00Z,300000000.00,IDR,CREDIT,TRANSFER,CP-5501,Customer payment
TXN-0016,ACC-5001,2026-08-19T09:00:00Z,300000000.00,IDR,CREDIT,TRANSFER,CP-5502,Customer payment
TXN-0017,ACC-5001,2026-08-20T09:00:00Z,300000000.00,IDR,CREDIT,TRANSFER,CP-5503,Customer payment
TXN-0018,ACC-5001,2026-08-21T09:00:00Z,300000000.00,IDR,CREDIT,TRANSFER,CP-5504,Customer payment
TXN-0019,ACC-5002,2026-08-22T09:00:00Z,400000.00,USD,CREDIT,WIRE,CP-5590,Export proceeds
TXN-0020,ACC-6001,2026-08-24T09:00:00Z,350000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0021,ACC-6001,2026-08-25,350000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0022,ACC-6001,2026-08-26T16:00:00+07:00,350000000.00,IDR,CREDIT,CASH,,Cash deposit
TXN-0023,ACC-1001,2026-08-27T09:00:00Z,abc,IDR,CREDIT,CASH,,Invalid amount
TXN-0024,ACC-1001,2026-02-30T09:00:00Z,10000000.00,IDR,CREDIT,CASH,,Impossible date
TXN-0025,ACC-9999,2026-08-27T09:00:00Z,10000000.00,IDR,CREDIT,CASH,,Unknown account
TXN-0001,ACC-1001,2026-08-27T09:00:00Z,10000000.00,IDR,CREDIT,CASH,,Duplicate transaction_ref
TXN-0026,ACC-1001,2026-08-27T09:00:00Z,10000000.00,IDR,SIDEWAYS,CASH,,Invalid direction
TXN-0027,ACC-2001,2026-08-27T09:00:00Z,10000000.00,,CREDIT,CASH,,Missing currency
TXN-0028,ACC-2001,2026-08-27T09:00:00Z,-5000000.00,IDR,DEBIT,TRANSFER,,Negative amount
